Compartment	Cluster	Trend	OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
RS	RSC4	Persistent Depletion	1105514	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Dechloromonas	unclassified
RS	RSC4	Persistent Depletion	626739	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Z-35	unclassified
RS	RSC4	Persistent Depletion	4306131	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Koribacteraceae	unclassified	unclassified
RS	RSC4	Persistent Depletion	2079834	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Koribacteraceae	unclassified	unclassified
RS	RSC4	Persistent Depletion	542613	Bacteria	Acidobacteria	BPC102	B110	unclassified	unclassified	unclassified
RS	RSC4	Persistent Depletion	4372979	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	FW	4-29	unclassified
RS	RSC4	Persistent Depletion	530796	Bacteria	WS4	unclassified	unclassified	unclassified	unclassified	unclassified
RS	RSC4	Persistent Depletion	160786	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	FW	4-29	unclassified
RS	RSC4	Persistent Depletion	536436	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	0319-6A21	unclassified	unclassified
RS	RSC4	Persistent Depletion	3954601	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified
RS	RSC4	Persistent Depletion	141173	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified
RS	RSC4	Persistent Depletion	276270	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	unclassified
RS	RSC4	Persistent Depletion	109573	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified
RS	RSC4	Persistent Depletion	588703	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified
RS	RSC4	Persistent Depletion	590693	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified
RS	RSC4	Persistent Depletion	148273	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Anaeromyxobacter	unclassified
RS	RSC4	Persistent Depletion	586356	Bacteria	Firmicutes	Clostridia	Clostridiales	[Mogibacteriaceae]	Anaerovorax	unclassified
RS	RSC4	Persistent Depletion	4430284	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified
RS	RSC4	Persistent Depletion	143933	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified
RS	RSC4	Persistent Depletion	4295795	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified
RS	RSC4	Persistent Depletion	81438	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified
RS	RSC4	Persistent Depletion	1725261	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified
RS	RSC4	Persistent Depletion	579757	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified
RS	RSC4	Persistent Depletion	589327	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Koribacteraceae	unclassified	unclassified
RS	RSC4	Persistent Depletion	179879	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Anaeromyxobacter	unclassified
RS	RSC4	Persistent Depletion	583051	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Anaeromyxobacter	unclassified
RS	RSC4	Persistent Depletion	592970	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Anaeromyxobacter	unclassified
RS	RSC4	Persistent Depletion	909520	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Anaeromyxobacter	unclassified
RS	RSC4	Persistent Depletion	875211	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified
RS	RSC4	Persistent Depletion	738779	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Dok59	unclassified
RS	RSC4	Persistent Depletion	143744	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified
RS	RSC4	Persistent Depletion	335316	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	unclassified	unclassified
RS	RSC3	NA	225453	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Cellvibrio	unclassified
RS	RSC3	NA	719367	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	unclassified
RS	RSC3	NA	7346	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Paucimonas	lemoignei
RS	RSC3	NA	510182	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	unclassified	unclassified
RS	RSC3	NA	586230	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	unclassified	unclassified
RS	RSC3	NA	4480305	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Sporomusa	unclassified
RS	RSC3	NA	833216	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	unclassified
RS	RSC3	NA	568229	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	unclassified
RS	RSC3	NA	730387	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified	unclassified
RS	RSC3	NA	788334	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azoarcus	unclassified
RS	RSC3	NA	231447	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	unclassified
RS	RSC3	NA	4414809	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	unclassified	unclassified
RS	RSC3	NA	178178	Bacteria	Cyanobacteria	Nostocophycideae	Nostocales	Nostocaceae	Gloeotrichia	unclassified
RS	RSC3	NA	237315	Bacteria	Cyanobacteria	Nostocophycideae	Nostocales	Nostocaceae	unclassified	unclassified
RS	RSC3	NA	674370	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	unclassified
RS	RSC3	NA	209202	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Cohnella	unclassified
RS	RSC3	NA	532331	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	unclassified	unclassified
RS	RSC3	NA	4439656	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas	unclassified
RS	RSC3	NA	593171	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Phaeospirillum	fulvum
RS	RSC3	NA	4336221	Bacteria	Chloroflexi	Anaerolineae	SBR1031	SJA-101	unclassified	unclassified
RS	RSC3	NA	1126475	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Emticicia	unclassified
RS	RSC3	NA	4439805	Bacteria	Fibrobacteres	Fibrobacteria	258ds10	unclassified	unclassified	unclassified
RS	RSC3	NA	813906	Bacteria	Proteobacteria	Betaproteobacteria	SBla14	unclassified	unclassified	unclassified
RS	RSC3	NA	635410	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	unclassified
RS	RSC3	NA	1052930	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	unclassified
RS	RSC3	NA	816505	Bacteria	Acidobacteria	Acidobacteria-6	iii1-15	unclassified	unclassified	unclassified
RS	RSC3	NA	1082846	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	unclassified
RS	RSC3	NA	113378	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	unclassified
RS	RSC3	NA	1078248	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	unclassified
RS	RSC3	NA	852722	Bacteria	Proteobacteria	Deltaproteobacteria	Spirobacillales	unclassified	unclassified	unclassified
RS	RSC3	NA	815406	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified	unclassified
RS	RSC3	NA	1120118	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	unclassified	unclassified
RS	RSC3	NA	1139285	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	unclassified	unclassified
RS	RSC3	NA	697479	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas	unclassified
RS	RSC3	NA	247767	Bacteria	Verrucomicrobia	Opitutae	unclassified	unclassified	unclassified	unclassified
RS	RSC3	NA	587972	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	unclassified	unclassified
RS	RSC3	NA	565375	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified	unclassified	unclassified
