Compartment	OTU_ID	Trend	Kingdom	Phylum	Class	Order	Family	Genus	Species
ES	225041	Early Colonizer	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]	unclassified	unclassified
ES	228873	Late Colonizer	Bacteria	Chloroflexi	Anaerolineae	S0208	unclassified	unclassified	unclassified
ES	234790	Late Colonizer	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	mexicanus
ES	237257	Late Colonizer	Bacteria	Chloroflexi	Anaerolineae	envOPS12	unclassified	unclassified	unclassified
ES	238766	Early Colonizer	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]	unclassified	unclassified
ES	247445	Early Colonizer	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	unclassified	unclassified
ES	2591424	Early Colonizer	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified	unclassified	unclassified
ES	289530	Early Colonizer	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]	unclassified	unclassified
ES	3116297	Late Colonizer	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified	unclassified	unclassified
ES	3430519	Late Colonizer	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Anaeromyxobacter	unclassified
ES	3436277	Late Colonizer	Bacteria	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	Thiobacillus	unclassified
ES	353729	Late Colonizer	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Anaeromyxobacter	unclassified
ES	4340806	Late Colonizer	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Anaeromyxobacter	unclassified
ES	4398983	Early Colonizer	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	unclassified	unclassified	unclassified
ES	4418945	Late Colonizer	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified
ES	509684	Early Colonizer	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	unclassified	unclassified
ES	510182	Early Colonizer	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	unclassified	unclassified
